Customer Name,Total Spent,Total Orders,Average Purchase,Average Monthly Spend,Average Monthly Orders,Last Ordered,Customer Since,Customer Lifetime
Customer7259,$43.11,2,$21.56,$2.05,0,"May 04, 2022","Feb 21, 2021",1 yr 8 mos 15 dys
Customer4657,$43.05,1,$43.05,$0.74,0,"Mar 29, 2019","Jul 26, 2016",4 yrs 9 mos 16 dys
Customer1755,$43.00,1,$43.00,$0.58,0,"Dec 03, 2017","Dec 03, 2017",6 yrs 1 mo 11 dys
Customer6677,$42.96,1,$42.96,$14.32,0,"Nov 15, 2023","May 20, 2020",1 mo 30 dys
Customer7629,$42.94,1,$42.94,$42.94,1,"Dec 23, 2023","Dec 20, 2023",22 dys
Customer6512,$42.89,1,$42.89,$1.26,0,"Apr 06, 2021","Feb 04, 2015",2 yrs 9 mos 9 dys
Customer8029,$42.89,2,$21.45,$1.05,0,"Jul 02, 2022","Mar 14, 2015",3 yrs 4 mos 1 dy
Customer6349,$42.89,1,$42.89,$0.75,0,"May 05, 2019","Sep 14, 2015",4 yrs 8 mos 9 dys
Customer5953,$42.88,1,$42.88,$0.93,0,"Apr 11, 2020","Apr 09, 2020",3 yrs 9 mos 3 dys
Customer7814,"$1,417.01",84,$16.87,$35.43,2,"Nov 12, 2022","Oct 13, 2020",3 yrs 3 mos 2 dys
Customer9361,$367.86,34,$10.82,$12.26,1,"Nov 15, 2023","Jul 19, 2021",2 yrs 5 mos 26 dys
Customer2353,$42.83,1,$42.83,$1.95,0,"Mar 21, 2022","May 27, 2021",1 yr 9 mos 24 dys
Customer1307,$42.83,2,$21.42,$1.43,0,"Aug 19, 2021","Jul 28, 2021",2 yrs 5 mos 17 dys
Customer6979,$42.83,1,$42.83,$21.42,0,"Nov 21, 2023","Nov 21, 2023",1 mo 24 dys
Customer7408,$42.81,1,$42.81,$42.81,1,"Dec 26, 2023","Dec 29, 2019",19 dys
Customer5748,$42.74,1,$42.74,$2.25,0,"Jul 10, 2022","Aug 17, 2020",1 yr 6 mos 4 dys
Customer3835,$42.67,1,$42.67,$0.42,0,"Jul 22, 2015","Jul 22, 2015",8 yrs 5 mos 24 dys
Customer7355,$42.63,1,$42.63,$3.55,0,"Jan 21, 2023","May 27, 2020",11 mos 24 dys
Customer4767,$42.55,1,$42.55,$0.77,0,"Jul 11, 2019","Jul 11, 2019",4 yrs 6 mos 3 dys
Customer2474,$42.49,5,$8.50,$3.04,0,"Dec 06, 2023","May 30, 2020",1 yr 1 mo
Customer7017,$42.46,2,$21.23,$4.25,0,"Nov 22, 2023","Nov 30, 2014",9 mos 17 dys
Customer7354,$365.50,17,$21.50,$12.60,0,"Jan 03, 2024","Sep 14, 2021",2 yrs 4 mos
Customer5374,$42.46,2,$21.23,$1.85,0,"Jun 24, 2023","Mar 24, 2020",1 yr 10 mos 12 dys
Customer9990,$42.45,1,$42.45,$0.47,0,"Jul 31, 2016","Jul 31, 2016",7 yrs 5 mos 14 dys
Customer9427,$42.43,1,$42.43,$5.30,0,"Jun 09, 2023","May 23, 2018",7 mos 5 dys
Customer3568,$42.40,3,$14.13,$0.92,0,"Mar 14, 2022","Feb 08, 2015",3 yrs 9 mos 15 dys
Customer6864,$42.32,1,$42.32,$1.28,0,"Apr 22, 2021","Apr 22, 2021",2 yrs 8 mos 23 dys
Customer9592,$42.29,1,$42.29,$14.10,0,"Nov 05, 2023","Nov 05, 2023",2 mos 9 dys
Customer4563,$42.29,1,$42.29,$0.63,0,"Jul 15, 2018","Jul 15, 2018",5 yrs 5 mos 30 dys
Customer4756,$42.28,2,$21.14,$1.57,0,"Feb 13, 2022","May 24, 2020",2 yrs 2 mos 13 dys
Customer5489,$42.27,2,$21.14,$3.02,0,"Oct 20, 2023","Dec 11, 2018",1 yr 1 mo 13 dys
Customer2278,$42.14,1,$42.14,$2.22,0,"Jul 14, 2022","Jul 14, 2022",1 yr 6 mos
Customer3933,$363.62,3,$121.21,$12.12,0,"Feb 24, 2022","Jun 30, 2021",2 yrs 5 mos 5 dys
Customer3205,$42.09,1,$42.09,$4.21,0,"Mar 16, 2023","Sep 14, 2015",9 mos 29 dys
Customer2989,$42.09,1,$42.09,$1.50,0,"Sep 25, 2021","Mar 04, 2015",2 yrs 3 mos 20 dys
Customer9528,$42.05,1,$42.05,$1.08,0,"Oct 31, 2020","Mar 08, 2018",3 yrs 2 mos 14 dys
Customer6161,$42.00,1,$42.00,$2.00,0,"May 12, 2022","Sep 23, 2019",1 yr 8 mos 2 dys
Customer1276,$42.00,1,$42.00,$14.00,0,"Nov 04, 2023","Feb 24, 2017",2 mos 10 dys
Customer1353,$41.98,1,$41.98,$4.66,0,"Apr 28, 2023","Nov 29, 2020",8 mos 17 dys
Customer9310,$41.96,1,$41.96,$2.33,0,"Aug 06, 2022","Aug 06, 2022",1 yr 5 mos 8 dys
Customer5923,$41.95,3,$13.98,$1.35,0,"Nov 22, 2021","Aug 30, 2020",2 yrs 6 mos 25 dys
Customer3313,$41.90,3,$13.97,$0.44,0,"Apr 06, 2016","Feb 03, 2016",7 yrs 11 mos 11 dys
Customer4816,$41.84,1,$41.84,$2.20,0,"Jul 12, 2022","Jul 12, 2022",1 yr 6 mos 2 dys
Customer5957,$363.32,6,$60.55,$24.22,0,"Mar 22, 2023","Oct 18, 2022",1 yr 2 mos 28 dys
Customer3349,$41.83,2,$20.92,$1.61,0,"Jun 17, 2022","Sep 25, 2015",2 yrs 1 mo 15 dys
Customer5956,$41.83,2,$20.92,$1.02,0,"May 28, 2021","Aug 21, 2020",3 yrs 4 mos 24 dys
Customer9296,$41.83,1,$41.83,$4.65,0,"Apr 20, 2023","Apr 28, 2021",8 mos 26 dys
Customer2748,$41.79,1,$41.79,$2.61,0,"Oct 04, 2022","Sep 03, 2015",1 yr 3 mos 10 dys
Customer9896,$41.72,1,$41.72,$5.96,0,"Jul 08, 2023","Dec 19, 2015",6 mos 6 dys
Customer1822,$41.72,1,$41.72,$5.22,0,"May 17, 2023","May 17, 2023",7 mos 28 dys
Customer2391,$41.71,2,$20.86,$1.30,0,"Jan 20, 2022","Nov 18, 2020",2 yrs 7 mos 4 dys
Customer9219,$41.70,2,$20.85,$0.79,0,"Aug 27, 2019","Aug 20, 2019",4 yrs 4 mos 25 dys
Customer1333,$41.69,1,$41.69,$6.95,0,"Jul 30, 2023","Jul 03, 2023",5 mos 15 dys
Customer3405,$41.67,1,$41.67,$1.89,0,"Apr 08, 2022","Apr 08, 2022",1 yr 9 mos 6 dys
Customer8998,$362.77,7,$51.82,$25.91,0,"Sep 08, 2023","Dec 03, 2022",1 yr 1 mo 11 dys
